approxkl,time_elapsed,serial_timesteps,ep_reward_mean,explained_variance,total_timesteps,fps,policy_loss,policy_entropy,value_loss,clipfrac,n_updates,ep_len_mean
4.9453367e-05,102.35020589828491,268288,708.61,0.9096968770027161,268288,2656,-0.0018111436,2.992602,1.2207788,0.0,131,1999.0
4.8661583e-05,103.12146997451782,270336,708.05,0.9174864068627357,270336,2665,-0.003050225,2.9920928,1.0395025,0.0,132,1999.0
5.379516e-05,103.89031291007996,272384,707.98,0.9177535846829414,272384,2656,-0.0011412984,2.9917004,1.1452138,0.0,133,1999.0
2.4264207e-05,104.66177701950073,274432,708.48,0.9090706184506416,274432,2677,-0.0010208412,2.9914362,1.2278647,0.0,134,1999.0
2.6656257e-05,105.42712926864624,276480,708.49,0.9193809852004051,276480,2663,-0.0012340005,2.9912221,1.2299479,0.0,135,1999.0
3.504912e-05,106.20154309272766,278528,709.03,0.916625551879406,278528,2675,-0.002429358,2.9909081,1.1771641,0.0,136,1999.0
5.073929e-05,106.96742725372314,280576,708.67,0.911805160343647,280576,2687,-0.001705468,2.9905457,1.3145435,0.0,137,1999.0
4.819886e-05,107.72999620437622,282624,708.88,0.9235614761710167,282624,2663,-0.0014228176,2.989682,1.196793,0.0,138,1999.0
6.986734e-05,108.49943804740906,284672,708.72,0.9301061481237411,284672,2659,-0.0025900903,2.9887583,1.0201558,0.0,139,1999.0
0.00014222904,109.269935131073,286720,709.08,0.9397067204117775,286720,2658,-0.0027770742,2.9868052,0.9270417,0.0,140,1999.0
0.00021334463,110.0459451675415,288768,708.98,0.9157625064253807,288768,2657,-0.0029038407,2.9835582,1.3096336,0.0,141,1999.0
0.00029056185,110.8169538974762,290816,709.11,0.9094053953886032,290816,2662,-0.0035674782,2.9789643,1.4038652,0.0,142,1999.0
0.00016870268,111.5865650177002,292864,708.94,0.898660384118557,292864,2668,-0.0014187499,2.9732697,1.4054741,0.0,143,1999.0
0.00021545286,112.3546450138092,294912,709.1,0.9271665588021278,294912,2688,-0.0034673535,2.973161,1.0714778,0.0,144,1999.0
0.00024985202,113.11671209335327,296960,709.22,0.9319449886679649,296960,2663,-0.00403954,2.9727094,1.040817,0.0,145,1999.0
0.0001811407,113.89155507087708,299008,709.15,0.918984167277813,299008,2665,-0.0023560158,2.9734237,1.3397968,0.0,146,1999.0
0.00013747795,114.6603741645813,301056,709.27,0.9270196259021759,301056,2674,-0.003030022,2.9724927,1.098419,0.0,147,1999.0
0.0001246849,115.42654490470886,303104,708.96,0.9164947345852852,303104,2658,-0.001957159,2.9711225,1.3824463,0.0,148,1999.0
0.00018849192,116.19726490974426,305152,708.79,0.9284819737076759,305152,2666,-0.0020810007,2.967977,1.143473,0.0,149,1999.0
0.00017182968,116.96566987037659,307200,708.86,0.9385074153542519,307200,2681,-0.002751357,2.9632335,1.0013884,0.0,150,1999.0
0.00026827704,117.73513293266296,309248,709.0,0.9414021372795105,309248,2658,-0.0025264348,2.9566734,0.98755723,0.0,151,1999.0
0.00027339076,118.50575995445251,311296,709.05,0.9285589382052422,311296,2673,-0.0028127425,2.948087,1.1202378,0.0,152,1999.0
0.00010351536,119.27233910560608,313344,708.97,0.9264746233820915,313344,2682,-0.0015241585,2.944373,1.2659187,0.0,153,1999.0
6.735618e-05,120.03612208366394,315392,709.49,0.9303106516599655,315392,2657,-0.0016658086,2.9433053,1.2492839,0.0,154,1999.0
0.00013864857,120.80711913108826,317440,709.71,0.9230357483029366,317440,2666,-0.002108404,2.943077,1.1600304,0.0,155,1999.0
0.00021567899,121.58052206039429,319488,709.76,0.9363926574587822,319488,2653,-0.0023346609,2.9429083,1.0262179,0.0,156,1999.0
0.00016738751,122.35269713401794,321536,710.05,0.9312430173158646,321536,2677,-0.0022460667,2.942073,1.2080842,0.0,157,1999.0
0.00015510565,123.1180522441864,323584,710.85,0.9245000556111336,323584,2677,-0.002569173,2.9392269,1.2016153,0.0,158,1999.0
0.00040807854,123.88333106040955,325632,710.99,0.9148302599787712,325632,2627,-0.0038220552,2.9341626,1.4407983,0.0,159,1999.0
0.00044045728,124.66325998306274,327680,711.31,0.9258731752634048,327680,2674,-0.0030886556,2.921743,1.2999203,0.0,160,1999.0
0.00035853413,125.4347231388092,329728,711.51,0.9355164542794228,329728,2673,-0.0029931124,2.9088,1.1311247,0.0,161,1999.0
0.00043698383,126.20128321647644,331776,711.69,0.9396028779447079,331776,2673,-0.0019732667,2.8987143,1.199997,0.0,162,1999.0
0.0004495962,126.96780014038086,333824,711.8,0.9470532424747944,333824,2691,-0.0033238237,2.8843992,1.252439,0.0,163,1999.0
0.00044525246,127.72903299331665,335872,712.81,0.9300521910190582,335872,2672,-0.0026223343,2.869934,1.3397819,0.0,164,1999.0
0.00061333016,128.49573612213135,337920,712.77,0.9250800833106041,337920,2658,-0.0042436766,2.8559144,1.2954371,4.8828126e-05,165,1999.0
0.00046142197,129.27191805839539,339968,712.92,0.9298065751791,339968,2665,-0.0021124869,2.8345108,1.1458532,0.0,166,1999.0
0.0005813128,130.0405490398407,342016,713.15,0.9310910850763321,342016,2658,-0.0039366987,2.8272855,1.1836268,0.0,167,1999.0
0.001324713,130.81128811836243,344064,713.12,0.943249799311161,344064,2668,-0.0051121092,2.794457,0.95552003,0.00024414062,168,1999.0
0.0015053006,131.57924103736877,346112,713.57,0.9285235032439232,346112,2677,-0.003832095,2.7519135,1.2327166,0.00024414062,169,1999.0
0.00029144913,132.34469890594482,348160,714.01,0.939154613763094,348160,2540,-0.0010496023,2.7247627,1.074135,0.0,170,1999.0
0.00022651887,133.15670824050903,350208,714.02,0.9464878514409065,350208,2644,-0.0031632795,2.731658,0.94213927,0.0,171,1999.0
0.00075240433,133.93170595169067,352256,714.31,0.9408373534679413,352256,2668,-0.004310543,2.722465,0.9885068,0.0,172,1999.0
0.000909791,134.6995370388031,354304,714.4,0.9506556764245033,354304,2647,-0.0012442259,2.6917305,0.8370825,0.0,173,1999.0
0.0004197907,135.4736111164093,356352,714.69,0.9294883757829666,356352,2669,-0.0014438166,2.6929238,1.0917847,0.0,174,1999.0
0.0005046502,136.24108004570007,358400,715.15,0.9487441256642342,358400,2665,-0.0040022787,2.7000687,0.85873574,0.0,175,1999.0
0.0006930615,137.01497507095337,360448,715.36,0.9410234354436398,360448,2670,-0.003480535,2.677988,0.96918935,0.0001953125,176,1999.0
0.000599042,137.7823429107666,362496,715.06,0.942177202552557,362496,2662,-0.0019485448,2.6736627,1.0048474,0.0,177,1999.0
0.00048734358,138.55186700820923,364544,714.93,0.9307661578059196,364544,2672,-0.0020761986,2.6869144,1.2716717,0.0,178,1999.0
0.00052986445,139.31855607032776,366592,715.18,0.9325068444013596,366592,2659,-0.0038952846,2.6941571,1.1206458,0.0,179,1999.0
0.0004957119,140.0892219543457,368640,715.14,0.9422766827046871,368640,2670,-0.002366399,2.6768813,1.0223687,0.0,180,1999.0
0.00048059784,140.86192798614502,370688,715.19,0.9289634376764297,370688,2650,-0.0021917783,2.6582007,1.2295325,0.0,181,1999.0
0.0009607415,141.6349160671234,372736,715.62,0.9408025033771992,372736,2660,-0.0038475252,2.6368778,1.0173638,0.00014648438,182,1999.0
0.0014349392,142.40514421463013,374784,715.61,0.9432470351457596,374784,2646,-0.0022584214,2.5850072,1.0487468,0.003076172,183,1999.0
0.000907956,143.17933225631714,376832,715.99,0.94262620434165,376832,2620,-0.004033421,2.5694232,1.0028061,0.000390625,184,1999.0
0.0007695495,143.96114993095398,378880,716.21,0.9368561431765556,378880,2657,-0.0026731498,2.5799274,0.9944724,0.0,185,1999.0
0.0003741143,144.7371551990509,380928,716.87,0.9395185373723507,380928,2645,-0.001614385,2.5776496,1.0955176,0.0,186,1999.0
0.0006492523,145.51184797286987,382976,717.18,0.9577098824083805,382976,2651,-0.0036096342,2.5846214,0.67618054,0.00068359374,187,1999.0
0.0016714461,146.28481101989746,385024,716.98,0.9402478188276291,385024,2660,-0.0026752201,2.5988767,1.0795485,0.00234375,188,1999.0
0.0007727772,147.0549430847168,387072,716.93,0.9385556280612946,387072,2682,-0.0032241046,2.615087,1.0107758,0.000390625,189,1999.0
0.0018657089,147.81887221336365,389120,717.5,0.940228532999754,389120,2665,-0.0053697294,2.6682203,1.0181811,0.008886719,190,1999.0
0.00074551895,148.59276008605957,391168,717.56,0.9280177056789398,391168,2654,-0.0020085939,2.7132792,1.3070022,0.00024414062,191,1999.0
